english,english_priority,spanish,spanish_priority,portuguese,portuguese_priority,german,german_priority,danish,danish_priority,dutch,dutch_priority,difficulty
vowel,5,vocal,5,vogal,5,Vokal,5,vokal,5,klinker,5,3
toward,5,hacia,5,para,5,auf,5,mod,5,in de richting van,5,3
war,5,guerra,5,guerra,5,Krieg,5,krig,5,oorlog,5,3
lay,5,poner,5,leigo,5,legen,5,lægge,5,leggen,5,3
against,5,contra,5,contra,5,gegen,5,mod,5,tegen,5,3
pattern,5,patrón,5,padrão,5,Muster,5,mønster,5,patroon,5,3
slow,5,lento,5,devagar,5,verlangsamen,5,langsom,5,langzaam,5,3
center,5,centro,5,centro,5,Zentrum,5,center,5,centrum,5,3
love,5,amor,5,amor,5,lieben,5,kærlighed,5,liefde,5,3
person,5,persona,5,pessoa,5,Person,5,"person,",5,persoon,5,3
money,5,dinero,5,dinheiro,5,Geld,5,penge,5,geld,5,3
serve,5,servir,5,servir,5,dienen,5,tjene,5,dienen,5,3
appear,5,aparecer,5,aparecer,5,erscheinen,5,forekomme,5,verschijnen,5,3
road,5,carretera,5,estrada,5,Straße,5,vej,5,weg,5,3
map,5,mapa,5,mapa,5,Karte,5,kort,5,kaart,5,3
rain,5,lluvia,5,chuva,5,regen,5,regn,5,regen,5,3
rule,5,gobernar,5,governar,5,regieren,5,regere,5,regeren,5,3
govern,5,gobernar,5,governar,5,regieren,5,regere,5,regeren,5,3
pull,5,tirar,5,puxar,5,ziehen,5,træk,5,trekken,5,3
cold,5,frío,5,frio,5,Kälte,5,forkølelse,5,koud,5,3
notice,5,nota,5,notar,5,bemerken,5,mærke,5,opmerken,5,3
voice,5,voz,5,voz,5,Stimme,5,stemme,5,stem,5,3
unit,5,unidad,5,unidade,5,Einheit,5,enhed,5,eenheid,5,3
power,5,poder,5,poder,5,Macht,5,magt,5,vermogen,5,3
town,5,ciudad,5,cidade,5,Stadt,5,town,5,stad,5,3
fine,5,multa,5,multa,5,fein,5,bøde,5,fijn,5,3
certain,5,cierto,5,certo,5,sicher,5,vis,5,zeker,5,3
fly,5,volar,5,voar,5,fliegen,5,flyve,5,vliegen,5,3
fall,5,caer,5,cair,5,fallen,5,falde,5,vallen,5,3
lead,5,conducir,5,conduzir,5,führen,5,føre,5,leiden,5,3
cry,5,llorar,5,chorar,5,weinen,5,græde,5,huilen,5,3
dark,5,oscuro,5,escuro,5,dunkel,5,mørk,5,donker,5,3
machine,5,máquina,5,máquina,5,Maschine,5,maskine,5,machine,5,3
note,5,nota,5,nota,5,beachten,5,Bemærk,5,noot,5,3
wait,5,esperar,5,esperar,5,warten,5,vente,5,wachten,5,3
plan,5,plan,5,plano,5,Plan,5,plan,5,plan,5,3
figure,5,calcular,5,descobrir,5,Abbildung,5,figur,5,figuur,5,3
star,5,estrella,5,estrela,5,Stern,5,stjerne,5,ster,5,3
box,5,caja,5,caixa,5,Box,5,kasse,5,doos,5,3
noun,5,sustantivo,5,substantivo,5,Nomen,5,navneord,5,zelfstandig naamwoord,5,3
field,5,campo,5,campo,5,Feld,5,felt,5,veld,5,3
rest,5,resto,5,resto,5,Rest,5,hvile,5,rest,5,3
correct,5,corregir,5,corrigir,5,korrigieren,5,korrigere,5,corrigeren,5,3
able,5,capaz,5,capaz,5,fähig,5,stand,5,in staat,5,3
pound,5,libra,5,libra,5,Pfund,5,pund,5,pond,5,3
done,5,hecho,5,feito,5,erledigt,5,gjort,5,gedaan,5,3
beauty,5,belleza,5,beleza,5,Schönheit,5,skønhed,5,schoonheid,5,3
drive,5,conducir,5,conduzir,5,fahren,5,køre,5,drijven,5,3
stood,5,estaba,5,ficou,5,stand,5,stod,5,stond,5,3
contain,5,contener,5,conter,5,enthalten,5,indeholde,5,bevatten,5,3
front,5,frente,5,frente,5,Front,5,forside,5,front,5,3
teach,5,enseñar,5,ensinar,5,lehren,5,undervise,5,leren,5,3
week,5,semana,5,semana,5,Woche,5,uge,5,week,5,3
final,5,final,5,final,5,final,5,endelig,5,finale,5,3
gave,5,dio,5,deu,5,gab,5,gav,5,gaf,5,3
green,5,verde,5,verde,5,grün,5,grøn,5,groen,5,3
oh,5,¡ay,5,ó,5,oh,5,oh,5,oh,5,3
quick,5,rápido,5,rápido,5,schnell,5,hurtig,5,snel,5,3
develop,5,desarrollar,5,desenvolver,5,entwickeln,5,udvikle,5,ontwikkelen,5,3
ocean,5,océano,5,oceano,5,Ozean,5,ocean,5,oceaan,5,3
warm,5,caliente,5,quente,5,warm,5,varm,5,warm,5,3
free,5,libre,5,livre,5,kostenlos,5,fri,5,gratis,5,3
minute,5,minuto,5,minuto,5,Minute,5,minut,5,minuut,5,3
strong,5,fuerte,5,forte,5,stark,5,stærk,5,sterk,5,3
special,5,especial,5,especial,5,besondere,5,special,5,speciaal,5,3
mind,5,mente,5,mente,5,Sinn,5,imod,5,geest,5,3
behind,5,detrás,5,atrás,5,hinter,5,bag,5,achter,5,3
clear,5,claro,5,limpar,5,löschen,5,klart,5,duidelijk,5,3
tail,5,cola,5,cauda,5,Schwanz,5,hale,5,staart,5,3
produce,5,producir,5,produzir,5,produzieren,5,producere,5,produceren,5,3
fact,5,hecho,5,fato,5,Tatsache,5,kendsgerning,5,feit,5,3
street,5,calle,5,rua,5,Straße,5,gade,5,straat,5,3
inch,5,pulgada,5,polegada,5,Zoll,5,inch,5,inch,5,3
multiply,5,multiplicar,5,multiplicar,5,multiplizieren,5,formere,5,vermenigvuldigen,5,3
nothing,5,nada,5,nada,5,nichts,5,intet,5,niets,5,3
course,5,curso,5,curso,5,Kurs,5,kursus,5,cursus,5,3
stay,5,permanecer,5,ficar,5,bleiben,5,ophold,5,blijven,5,3
wheel,5,rueda,5,roda,5,Rad,5,hjul,5,wiel,5,3
full,5,completo,5,completo,5,voll,5,fuld,5,volledig,5,3
force,5,forzar,5,forçar,5,zwingen,5,tvinge,5,dwingen,5,3
blue,5,azul,5,azul,5,blau,5,blå,5,blauw,5,3
object,5,objeto,5,objeto,5,Objekt,5,objekt,5,object,5,3
decide,5,decidir,5,decidir,5,entscheiden,5,beslutte,5,beslissen,5,3
surface,5,superficie,5,superfície,5,Oberfläche,5,overflade,5,oppervlak,5,3
deep,5,profundo,5,profundidade,5,tief,5,dyb,5,diep,5,3
moon,5,luna,5,lua,5,Mond,5,månen,5,maan,5,3
island,5,isla,5,ilha,5,Insel,5,ø,5,eiland,5,3
foot,5,pie,5,pé,5,Fuß,5,fod,5,voet,5,3
system,5,sistema,5,sistema,5,System,5,systemet,5,systeem,5,3
busy,5,ocupado,5,ocupado,5,beschäftigt,5,travl,5,bezig,5,3
test,5,prueba,5,teste,5,Test,5,test,5,test,5,3
record,5,registro,5,registro,5,Rekord,5,rekord,5,record,5,3
boat,5,barco,5,barco,5,Boot,5,båd,5,boot,5,3
common,5,común,5,comum,5,gemeinsam,5,fælles,5,gemeen,5,3
gold,5,oro,5,ouro,5,Gold,5,guld,5,goud,5,3
possible,5,posible,5,possível,5,möglich,5,muligt,5,mogelijk,5,3
plane,5,plano,5,avião,5,Flugzeug,5,plan,5,vliegtuig,5,3
stead,5,lugar,5,lugar,5,Statt,5,stedet,5,plaats,5,3
dry,5,secar,5,secar,5,trocknen,5,tørre,5,drogen,5,3
wonder,5,preguntarse,5,maravilha,5,Wunder,5,spekulerer,5,wonder,5,3
laugh,5,reír,5,rir,5,lachen,5,grine,5,lachen,5,3
ago,5,hace,5,atrás,5,vor,5,siden,5,geleden,5,3
ran,5,corrió,5,correu,5,ran,5,løb,5,liep,5,3
check,5,comprobar,5,verificar,5,überprüfen,5,tjek,5,controleren,5,3
game,5,juego,5,jogo,5,Spiel,5,spil,5,spel,5,3
shape,5,forma a,5,moldar,5,gestalten,5,forme,5,vorm te geven,5,3
equate,5,equiparar,5,equiparar,5,gleichsetzen,5,sidestille,5,gelijkstellen,5,3
miss,5,perder,5,perder,5,vermissen,5,glip,5,missen,5,3
brought,5,trajo,5,trouxe,5,brachte,5,bragt,5,bracht,5,3
heat,5,calor,5,calor,5,Wärme,5,hede,5,warmte,5,3
snow,5,nieve,5,neve,5,Schnee,5,sne,5,sneeuw,5,3
tire,5,neumático,5,pneu,5,Reifen,5,dæk,5,band,5,3
bring,5,llevar,5,trazer,5,bringen,5,bringe,5,brengen,5,3
yes,5,sí,5,sim,5,ja,5,ja,5,ja,5,3
distant,5,distante,5,distante,5,fern,5,fjernt,5,ver,5,3
fill,5,llenar,5,preencher,5,füllen,5,fylde,5,vullen,5,3
east,5,este,5,leste,5,Osten,5,øst,5,oosten,5,3
paint,5,pintar,5,pintar,5,malen,5,male,5,schilderen,5,3
language,5,idioma,5,linguagem,5,Sprache,5,sprog,5,taal,5,3
among,5,entre,5,entre,5,unter,5,blandt,5,onder,5,3
grand,5,magnífico,5,grande,5,groß,5,grand,5,groots,5,3
ball,5,bola,5,bola,5,Ball,5,bold,5,bal,5,3
yet,5,aún,5,ainda,5,noch,5,endnu,5,nog,5,3
wave,5,ola,5,onda,5,Welle,5,bølge,5,golf,5,3
drop,5,caer,5,cair,5,fallen,5,drop,5,vallen,5,3
heart,5,corazón,5,coração,5,Herz,5,hjerte,5,hart,5,3
am,5,soy,5,sou,5,Uhr,5,am,5,am,5,3
present,5,presentar,5,apresentar,5,präsentieren,5,præsentere,5,presenteren,5,3
heavy,5,pesado,5,pesado,5,schwer,5,tung,5,zwaar,5,3
dance,5,bailar,5,dançar,5,tanzen,5,danse,5,dansen,5,3
engine,5,motor,5,motor,5,Motor,5,motor,5,motor,5,3
position,5,posición,5,posição,5,Position,5,position,5,positie,5,3
arm,5,brazo,5,braço,5,Arm,5,arm,5,arm,5,3
wide,5,ancho,5,amplo,5,breit,5,bred,5,breed,5,3
sail,5,navegar,5,velejar,5,segeln,5,sejle,5,varen,5,3
material,5,material,5,material,5,Material,5,materiale,5,materiaal,5,3
size,5,tamaño,5,tamanho,5,Größe,5,størrelse,5,omvang,5,3
vary,5,variar,5,variar,5,variieren,5,variere,5,variëren,5,3
settle,5,resolver,5,resolver,5,begleichen,5,bilægge,5,vestigen,5,3
speak,5,hablar,5,falar,5,sprechen,5,tale,5,spreken,5,3
weight,5,peso,5,peso,5,Gewicht,5,vægt,5,gewicht,5,3
general,5,general,5,geral,5,allgemein,5,Generelt,5,algemeen,5,3
ice,5,hielo,5,gelo,5,Eis,5,is,5,ijs,5,3
matter,5,materia,5,importância,5,Materie,5,noget,5,materie,5,3
circle,5,círculo,5,círculo,5,Kreis,5,cirkel,5,cirkel,5,3
pair,5,par,5,par,5,Paar,5,pair,5,paar,5,3
include,5,incluir,5,incluir,5,umfassen,5,omfatte,5,omvatten,5,3
divide,5,dividir,5,dividir,5,aufteilen,5,opdele,5,verdelen,5,3
syllable,5,sílaba,5,sílaba,5,Silbe,5,stavelse,5,lettergreep,5,3
felt,5,sentido,5,feltro,5,Filz,5,følte,5,vilt,5,3
perhaps,5,tal vez,5,talvez,5,vielleicht,5,måske,5,misschien,5,3
pick,5,recoger,5,escolher,5,pflücken,5,pick,5,kiezen,5,3
sudden,5,repentino,5,súbito,5,plötzlich,5,pludselige,5,plotseling,5,3
count,5,contar,5,contar,5,zählen,5,tælle,5,tellen,5,3
square,5,plaza,5,praça,5,Quadrat,5,firkantet,5,vierkant,5,3
reason,5,razón,5,razão,5,Grund,5,årsag,5,reden,5,3
length,5,longitud,5,comprimento,5,Länge,5,længde,5,lengte,5,3
represent,5,representar,5,representar,5,vertreten,5,repræsentere,5,vertegenwoordigen,5,3
art,5,arte,5,arte,5,Kunst,5,kunst,5,kunst,5,3
subject,5,sujeto,5,assunto,5,Thema,5,emne,5,onderwerp,5,3
region,5,región,5,região,5,Region,5,region,5,regio,5,3
energy,5,energía,5,energia,5,Energie,5,energi,5,energie,5,3
hunt,5,caza,5,caça,5,Jagd,5,jagt,5,jacht,5,3
probable,5,probable,5,provável,5,wahrscheinlich,5,sandsynlig,5,waarschijnlijk,5,3
bed,5,cama,5,cama,5,Bett,5,seng,5,bed,5,3
brother,5,hermano,5,irmão,5,Bruder,5,bror,5,broer,5,3
egg,5,huevo,5,ovo,5,Ei,5,æg,5,ei,5,3
ride,5,montar,5,montar,5,reiten,5,rider,5,rijden,5,3
cell,5,célula,5,célula,5,Zelle,5,celle,5,cel,5,3
believe,5,creer,5,acreditar,5,glauben,5,tro,5,geloven,5,3
fraction,5,fracción,5,fração,5,Bruchteil,5,fraktion,5,fractie,5,3
forest,5,bosque,5,floresta,5,Wald,5,skov,5,bos,5,3
sit,5,sentarse,5,sentar-se,5,sitzen,5,sidde,5,zitten,5,3
race,5,raza,5,raça,5,Rennen,5,løb,5,race,5,3
window,5,ventana,5,janela,5,Fenster,5,vindue,5,venster,5,3
store,5,almacenar,5,armazenar,5,speichern,5,opbevare,5,op te slaan,5,3
summer,5,verano,5,verão,5,Sommer,5,sommer,5,zomer,5,3
train,5,tren,5,trem,5,Zug,5,tog,5,trein,5,3
sleep,5,dormir,5,dormir,5,schlafen,5,sove,5,slapen,5,3
prove,5,demostrar,5,provar,5,beweisen,5,bevise,5,bewijzen,5,3
lone,5,solitario,5,solitário,5,einsam,5,lone,5,eenzaam,5,3
leg,5,pierna,5,perna,5,Bein,5,ben,5,been,5,3
exercise,5,ejercer,5,exercer,5,ausüben,5,udøve,5,oefenen,5,3
wall,5,pared,5,parede,5,Wand,5,væg,5,wand,5,3
catch,5,coger,5,pegar,5,fangen,5,fange,5,vangen,5,3
mount,5,montar,5,montar,5,montieren,5,montere,5,monteren,5,3
wish,5,deseo,5,desejo,5,wünschen,5,ønske,5,wensen,5,3
sky,5,cielo,5,céu,5,Himmel,5,himmel,5,hemel,5,3
board,5,bordo,5,conselho,5,Board,5,board,5,boord,5,3
joy,5,alegría,5,alegria,5,Freude,5,glæde,5,vreugde,5,3
winter,5,invierno,5,inverno,5,Winter,5,vinter,5,winter,5,3
sat,5,sáb,5,sáb.,5,Sa,5,Lør,5,zat,5,3
written,5,escrito,5,escrito,5,geschrieben,5,skriftlig,5,geschreven,5,3
wild,5,salvaje,5,selvagem,5,wild,5,vild,5,wild,5,3
instrument,5,instrumento,5,instrumento,5,Instrument,5,instrument,5,instrument,5,3
kept,5,mantenido,5,guardado,5,gehalten,5,holdt,5,gehouden,5,3
glass,5,vidrio,5,vidro,5,Glas,5,glas,5,glas,5,4
grass,5,hierba,5,grama,5,Gras,5,græs,5,gras,5,4
cow,5,vaca,5,vaca,5,Kuh,5,ko,5,koe,5,4
job,5,trabajo,5,trabalho,5,Job,5,job,5,baan,5,4
edge,5,borde,5,borda,5,Rand,5,kant,5,rand,5,4
sign,5,firmar,5,assinar,5,unterzeichnen,5,underskrive,5,ondertekenen,5,4
visit,5,visitar,5,visitar,5,besuchen,5,besøg,5,bezoeken,5,4
past,5,pasado,5,passado,5,Vergangenheit,5,forbi,5,verleden,5,4
soft,5,suave,5,macio,5,weich,5,soft,5,zacht,5,4
fun,5,diversión,5,diversão,5,Spaß,5,sjov,5,plezier,5,4
bright,5,brillante,5,brilhante,5,hell,5,lyse,5,helder,5,4
gas,5,gas,5,gás,5,Gas,5,gas,5,gas,5,4
weather,5,tiempo,5,tempo,5,Wetter,5,vejr,5,weer,5,4
month,5,mes,5,mês,5,Monat,5,måned,5,maand,5,4
bear,5,soportar,5,suportar,5,tragen,5,bære,5,dragen,5,4
finish,5,terminar,5,terminar,5,beenden,5,færdig,5,afmaken,5,4
happy,5,feliz,5,feliz,5,glücklich,5,lykkelig,5,gelukkig,5,4
hope,5,esperanza,5,esperança,5,hoffen,5,håbe,5,hopen,5,4
flower,5,flor,5,flor,5,Blume,5,blomst,5,bloem,5,4
clothe,5,vestir,5,vestir,5,kleiden,5,iklæde,5,kleden,5,4
strange,5,extraño,5,estranho,5,seltsam,5,mærkelig,5,vreemd,5,4
gone,5,ido,5,ido,5,weg,5,gået,5,weg,5,4
jump,5,saltar,5,saltar,5,springen,5,springe,5,springen,5,4
baby,5,bebé,5,bebê,5,Baby,5,barn,5,baby,5,4
village,5,pueblo,5,aldeia,5,Dorf,5,landsby,5,dorp,5,4
meet,5,satisfacer,5,reunir-se,5,treffen,5,mødes,5,voldoen aan,5,4
root,5,raíz,5,raiz,5,Wurzel,5,root,5,wortel,5,4
buy,5,comprar,5,comprar,5,kaufen,5,købe,5,kopen,5,4
raise,5,elevar,5,aumentar,5,erhöhen,5,hæve,5,verhogen,5,4
solve,5,resolver,5,resolver,5,lösen,5,løse,5,oplossen,5,4
metal,5,metal,5,metal,5,Metall,5,metal,5,metalen,5,4
whether,5,si,5,se,5,ob,5,hvorvidt,5,of,5,4
push,5,empuje,5,empurrar,5,schieben,5,skubbe,5,duwen,5,4
paragraph,5,párrafo,5,parágrafo,5,Absatz,5,afsnit,5,paragraaf,5,4
third,5,tercera,5,terceiro,5,dritte,5,3:e,5,derde,5,4
shall,5,deberán,5,deve,5,wird,5,skal,5,zal,5,4
held,5,tenido,5,mantido,5,statt,5,holdt,5,gehouden,5,4
hair,5,cabello,5,cabelo,5,Haar,5,hår,5,haar,5,4
describe,5,describir,5,descrever,5,beschreiben,5,beskrive,5,beschrijven,5,4
cook,5,cocinar,5,cozinhar,5,kochen,5,tilberede,5,koken,5,4
floor,5,piso,5,piso,5,Boden,5,gulv,5,vloer,5,4
either,5,cualquiera de los dos,5,ou,5,entweder,5,enten,5,een van beide,5,4
result,5,resultar,5,resultar,5,Folge,5,resultere,5,resultaat,5,4
burn,5,quemar,5,queimar,5,brennen,5,brænde,5,uitbranden,5,4
hill,5,colina,5,colina,5,Hügel,5,hill,5,heuvel,5,4
safe,5,seguro,5,seguro,5,sicher,5,sikker,5,veilig,5,4
cat,5,gato,5,gato,5,Katze,5,kat,5,kat,5,4
century,5,siglo,5,século,5,Jahrhundert,5,århundrede,5,eeuw,5,4
consider,5,considerar,5,considerar,5,betrachten,5,overveje,5,overwegen,5,4
type,5,tipo,5,tipo,5,Typ,5,Type,5,type,5,4
law,5,ley,5,lei,5,Gesetz,5,lov,5,wet,5,4
bit,5,bit,5,bocado,5,Bit,5,bit,5,bit,5,4
coast,5,costa,5,costa,5,Küste,5,kyst,5,kust,5,4
copy,5,copiar,5,copiar,5,kopieren,5,kopiere,5,kopiëren,5,4
phrase,5,frase,5,frase,5,Ausdruck,5,sætning,5,uitdrukking,5,4
silent,5,silencioso,5,silencioso,5,still,5,lydløs,5,stil,5,4
tall,5,alto,5,alto,5,groß,5,høj,5,hoog,5,4
sand,5,arena,5,areia,5,Sand,5,sand,5,zand,5,4
soil,5,suelo,5,solo,5,Boden,5,jord,5,bodem,5,4
roll,5,rodar,5,rolar,5,rollen,5,rulle,5,rollen,5,4
temperature,5,temperatura,5,temperatura,5,Temperatur,5,temperatur,5,temperatuur,5,4
finger,5,dedo,5,dedo,5,Finger,5,finger,5,vinger,5,4
industry,5,industria,5,indústria,5,Industrie,5,industri,5,industrie,5,4
value,5,valor,5,valor,5,Wert,5,værdi,5,waarde,5,4
fight,5,luchar,5,lutar,5,kämpfen,5,kæmpe,5,vechten,5,4
lie,5,mentir,5,mentir,5,liegen,5,ligge,5,liggen,5,4
beat,5,batir,5,bater,5,schlagen,5,slå,5,slaan,5,4
excite,5,excitar,5,excitar,5,erregen,5,ophidse,5,prikkelen,5,4
natural,5,natural,5,natural,5,natürlich,5,naturlig,5,natuurlijk,5,4
view,5,ver,5,ver,5,sehen,5,vis,5,zien,5,4
sense,5,sentido,5,sentido,5,Sinn,5,fornuft,5,zin,5,4
ear,5,oído,5,ouvido,5,Ohr,5,øre,5,oor,5,4
else,5,más,5,outro,5,sonst,5,ellers,5,anders,5,4
quite,5,bastante,5,bastante,5,ganz,5,helt,5,heel,5,4
broke,5,rompió,5,quebrado,5,pleite,5,brød,5,brak,5,4
case,5,caso,5,caso,5,Fall,5,sag,5,geval,5,4
middle,5,medio,5,meio,5,Mitte,5,Midt,5,midden,5,4
kill,5,matar,5,matar,5,töten,5,dræbe,5,doden,5,4
son,5,hijo,5,filho,5,Sohn,5,søn,5,zoon,5,4
lake,5,lago,5,lago,5,See,5,sø,5,meer,5,4
moment,5,momento,5,momento,5,Moment,5,øjeblik,5,moment,5,4
scale,5,escala,5,escala,5,Maßstab,5,skala,5,schaal,5,4
loud,5,fuerte,5,alto,5,laut,5,højt,5,luid,5,4
spring,5,primavera,5,primavera,5,Frühjahr,5,forår,5,voorjaar,5,4
observe,5,observar,5,observar,5,beobachten,5,observere,5,in acht nemen,5,4
child,5,niño,5,criança,5,Kind,5,barn,5,kind,5,4
straight,5,recto,5,em linha reta,5,gerade,5,lige ud,5,recht,5,4
consonant,5,consonante,5,consoante,5,Konsonant,5,konsonant,5,medeklinker,5,4
nation,5,nación,5,nação,5,Nation,5,nation,5,natie,5,4
dictionary,5,diccionario,5,dicionário,5,Wörterbuch,5,ordbog,5,woordenboek,5,4
milk,5,leche,5,leite,5,Milch,5,mælk,5,melk,5,4
speed,5,acelerar,5,acelerar,5,Geschwindigkeit,5,hastighed,5,snelheid,5,4
method,5,método,5,método,5,Verfahren,5,metode,5,methode,5,4
organ,5,órgano,5,órgão,5,Orgel,5,orgel,5,orgel,5,4
pay,5,pagar,5,pagar,5,zahlen,5,betale,5,betalen,5,4
age,5,edad,5,idade,5,Alter,5,alder,5,leeftijd,5,4
section,5,sección,5,seção,5,Abschnitt,5,sektion,5,sectie,5,4
dress,5,vestir,5,vestir,5,kleiden,5,kjole,5,kleden,5,4
cloud,5,nube,5,nuvem,5,Wolke,5,sky,5,wolk,5,4
surprise,5,sorpresa,5,surpresa,5,Überraschung,5,overraskelse,5,verrassing,5,4
quiet,5,tranquilo,5,calma,5,ruhig,5,quiet,5,rustig,5,4
stone,5,piedra,5,pedra,5,Stein,5,sten,5,steen,5,4
tiny,5,diminuto,5,minúsculo,5,winzig,5,tiny,5,minuscuul,5,4
climb,5,escalar,5,subir,5,klettern,5,klatre,5,klimmen,5,4
cool,5,fresco,5,legal,5,cool,5,kølig,5,koel,5,4
design,5,diseño,5,projeto,5,Design,5,design,5,ontwerp,5,4
poor,5,pobre,5,pobre,5,arm,5,fattige,5,arm,5,4
lot,5,mucho,5,muitos,5,Menge,5,parti,5,lot,5,4
experiment,5,experimento,5,experiência,5,Experiment,5,eksperiment,5,experiment,5,4
bottom,5,fondo,5,fundo,5,Boden,5,bund,5,bodem,5,4
key,5,clave,5,chave,5,Schlüssel,5,nøgle,5,sleutel,5,4
iron,5,hierro,5,ferro,5,Eisen,5,jern,5,ijzer,5,4
single,5,solo,5,único,5,Single,5,single,5,single,5,4
stick,5,palo,5,vara,5,kleben,5,stick,5,steken,5,4
flat,5,plano,5,plano,5,Wohnung,5,flad,5,plat,5,4
skin,5,piel,5,pele,5,Haut,5,hud,5,huid,5,4
smile,5,sonreír,5,sorrir,5,lächeln,5,smile,5,glimlachen,5,4
crease,5,pliegue,5,vincar,5,Falte,5,krølle,5,vouw,5,4
hole,5,agujero,5,buraco,5,Loch,5,hul,5,gat,5,4
trade,5,comercio,5,comércio,5,Handel,5,handel,5,handel,5,4
melody,5,melodía,5,melodia,5,Melodie,5,melodi,5,melodie,5,4
trip,5,viaje,5,viagem,5,Reise,5,tur,5,reis,5,4
office,5,oficina,5,escritório,5,Büro,5,kontor,5,kantoor,5,4
receive,5,recibir,5,receber,5,empfangen,5,modtage,5,ontvangen,5,4
row,5,fila,5,linha,5,Reihe,5,række,5,rij,5,4
mouth,5,boca,5,boca,5,Mund,5,mund,5,mond,5,4
exact,5,exacto,5,exato,5,genau,5,eksakt,5,exact,5,4
symbol,5,símbolo,5,símbolo,5,Symbol,5,symbol,5,symbool,5,4
die,5,morir,5,morrer,5,sterben,5,dø,5,sterven,5,4
least,5,mínimo,5,mínimo,5,am wenigsten,5,mindst,5,minst,5,4
trouble,5,problema,5,dificuldade,5,Schwierigkeiten,5,besvær,5,moeite,5,4
shout,5,gritar,5,gritar,5,schreien,5,råbe,5,schreeuwen,5,4
except,5,excepto,5,exceto,5,außer,5,undtagen,5,behalve,5,4
wrote,5,escribió,5,escreveu,5,schrieb,5,skrev,5,schreef,5,4
seed,5,semilla,5,semente,5,Samen,5,frø,5,zaad,5,4
tone,5,tono,5,tom,5,Ton,5,tone,5,toon,5,4
join,5,unirse,5,juntar,5,beitreten,5,slutte,5,toetreden tot,5,4
suggest,5,sugerir,5,sugerir,5,vorschlagen,5,foreslå,5,suggereren,5,4
clean,5,limpiar,5,limpar,5,reinigen,5,ren,5,schoon,5,4
break,5,romper,5,quebrar,5,brechen,5,bryde,5,breken,5,4
lady,5,dama,5,senhora,5,Dame,5,lady,5,dame,5,4
yard,5,patio,5,quintal,5,Hof,5,værftet,5,yard,5,4
rise,5,subir,5,subir,5,steigen,5,stige,5,stijgen,5,4
bad,5,malo,5,ruim,5,schlecht,5,dårlig,5,slecht,5,4
blow,5,soplar,5,soprar,5,blasen,5,blæse,5,blazen,5,4
oil,5,aceite,5,óleo,5,Öl,5,olie,5,olie,5,4
blood,5,sangre,5,sangue,5,Blut,5,blod,5,bloed,5,4
touch,5,toque,5,tocar,5,berühren,5,røre,5,raken,5,4
grew,5,creció,5,cresceu,5,wuchs,5,voksede,5,groeide,5,4
cent,5,centavo,5,centavo,5,Cent,5,cent,5,cent,5,4
mix,5,mezclar,5,misturar,5,mischen,5,blande,5,mengen,5,4
team,5,equipo,5,equipe,5,Team,5,hold,5,team,5,4
wire,5,alambre,5,arame,5,Draht,5,wire,5,draad,5,4
cost,5,costo,5,custar,5,kosten,5,koste,5,kosten,5,4
lost,5,perdido,5,perdido,5,verloren,5,tabt,5,verloren,5,4
brown,5,marrón,5,marrom,5,braun,5,brun,5,bruin,5,4
wear,5,desgaste,5,desgaste,5,tragen,5,slid,5,dragen,5,4
garden,5,jardín,5,jardim,5,Garten,5,haven,5,tuin,5,4
equal,5,igual,5,igual,5,gleich,5,lige,5,gelijk,5,4
sent,5,enviado,5,enviado,5,geschickt,5,sendt,5,verzonden,5,4
choose,5,elegir,5,escolher,5,wählen,5,vælge,5,kiezen,5,4
fell,5,cayó,5,caiu,5,fielen,5,faldt,5,viel,5,4
fit,5,ajuste,5,caber,5,passen,5,passe,5,geschikt,5,4
flow,5,flujo,5,fluxo,5,Fluss,5,flow,5,stroom,5,4
fair,5,feria,5,feira,5,fair,5,retfærdig,5,eerlijk,5,4
bank,5,banco,5,banco,5,Bank,5,bank,5,bank,5,4
collect,5,recoger,5,coletar,5,sammeln,5,indsamle,5,verzamelen,5,4
save,5,ahorrar,5,salvar,5,sparen,5,spare,5,besparen,5,4
control,5,controlar,5,controlar,5,steuern,5,kontrol,5,controle,5,4
decimal,5,decimal,5,decimal,5,dezimal,5,decimal,5,decimale,5,4
gentle,5,suave,5,suave,5,sanft,5,blid,5,zacht,5,4
woman,5,mujer,5,mulher,5,Frau,5,kvinde,5,vrouw,5,4
captain,5,capitán,5,capitão,5,Kapitän,5,kaptajn,5,kapitein,5,4
practice,5,práctica,5,prática,5,Praxis,5,praksis,5,praktijk,5,4
separate,5,separado,5,separado,5,trennen,5,særskilt,5,apart,5,4
difficult,5,difícil,5,difícil,5,schwierig,5,vanskeligt,5,moeilijk,5,4
doctor,5,médico,5,médico,5,Arzt,5,læge,5,dokter,5,4
please,5,complacer,5,por favor,5,gefallen,5,behage,5,alsjeblieft,5,4
protect,5,proteger,5,proteger,5,schützen,5,beskytte,5,beschermen,5,4
noon,5,mediodía,5,meio-dia,5,Mittag,5,middag,5,middag,5,4
whose,5,cuyo,5,de quem,5,deren,5,hvis,5,wiens,5,4
locate,5,localizar,5,localizar,5,lokalisieren,5,lokalisere,5,plaatsen,5,4
ring,5,anillo,5,anel,5,Ring,5,ring,5,ring,5,4
character,5,carácter,5,caráter,5,Charakter,5,karakter,5,karakter,5,4
